skill,supply,demand,Supply Difference,Demand Difference,sup,dem
Scripting,4.48,36.64,-32.16,32.16,10.89494163,89.10505837
Redis,2.34,17.62,-15.28,15.28,11.72344689,88.27655311
Machine learning,0.32,11,-10.68,10.68,2.826855124,97.17314488
Apis,7.2,17.28,-10.08,10.08,29.41176471,70.58823529
Analytics,13.47,23.08,-9.61,9.61,36.85362517,63.14637483
Sass,2.63,11.97,-9.34,9.34,18.01369863,81.98630137
Reliability,2.91,12.13,-9.22,9.22,19.34840426,80.65159574
Iteration,0.98,9.72,-8.74,8.74,9.158878505,90.8411215
Data Mining,10.03,18.76,-8.73,8.73,34.83848559,65.16151441
Modeling,5.82,14.02,-8.2,8.2,29.33467742,70.66532258
Automate,10.75,18.84,-8.09,8.09,36.32984116,63.67015884
Ticketing,2.12,9.94,-7.82,7.82,17.5787728,82.4212272
Scaling,1.81,7.95,-6.14,6.14,18.54508197,81.45491803
Assemblies,0.23,6.36,-6.13,6.13,3.490136571,96.50986343
Transformer,0.7,6.25,-5.55,5.55,10.07194245,89.92805755
Test Planning,0.32,5.32,-5,5,5.673758865,94.32624113
Construction,6.97,11.72,-4.75,4.75,37.29266988,62.70733012
Optimization,8.77,13.32,-4.55,4.55,39.70122227,60.29877773
Autocad,1.64,6.01,-4.37,4.37,21.4379085,78.5620915
Programming,38.11,42.07,-3.96,3.96,47.53055625,52.46944375
Visualization,5.46,9.14,-3.68,3.68,37.39726027,62.60273973
Containers,0.85,4.53,-3.68,3.68,15.79925651,84.20074349
Emerging,6.2,9.45,-3.25,3.25,39.61661342,60.38338658
Workflows,2.46,5.7,-3.24,3.24,30.14705882,69.85294118
Piping,0.17,3.36,-3.19,3.19,4.815864023,95.18413598
Electronics,5.52,8.64,-3.12,3.12,38.98305085,61.01694915
Experience Design,0.68,3.7,-3.02,3.02,15.52511416,84.47488584
C,3.61,6.3,-2.69,2.69,36.42785066,63.57214934
Compiler,0.32,2.86,-2.54,2.54,10.06289308,89.93710692
Querying,1.19,3.71,-2.52,2.52,24.28571429,75.71428571
Security,30.52,32.84,-2.32,2.32,48.16919192,51.83080808
Root Cause Analysis,0.87,3.09,-2.22,2.22,21.96969697,78.03030303
AWS,2.63,4.78,-2.15,2.15,35.4925776,64.5074224
Automated Testing,0.74,2.87,-2.13,2.13,20.49861496,79.50138504
Product Quality,0.47,2.58,-2.11,2.11,15.40983607,84.59016393
Promises,0.06,2.15,-2.09,2.09,2.714932127,97.28506787
Solidworks,0.4,2.43,-2.03,2.03,14.13427562,85.86572438
Quality System,0.38,2.3,-1.92,1.92,14.17910448,85.82089552
Scala,12.38,14.08,-1.7,1.7,46.78760393,53.21239607
Diagram,2.44,4.12,-1.68,1.68,37.19512195,62.80487805
Test Cases,3.02,4.64,-1.62,1.62,39.42558747,60.57441253
Refining,0.7,2.3,-1.6,1.6,23.33333333,76.66666667
Cybersecurity,0.89,2.45,-1.56,1.56,26.64670659,73.35329341
Six Sigma,1.13,2.66,-1.53,1.53,29.81530343,70.18469657
Prototypes,2.46,3.97,-1.51,1.51,38.25816485,61.74183515
Powershell,0.45,1.9,-1.45,1.45,19.14893617,80.85106383
VMWare,2.97,4.4,-1.43,1.43,40.29850746,59.70149254
Sql,11.26,12.62,-1.36,1.36,47.15242881,52.84757119
Product Initiatives,0.04,1.34,-1.3,1.3,2.898550725,97.10144928
Concrete,0.45,1.74,-1.29,1.29,20.54794521,79.45205479
Microsoft Windows,2.02,3.2,-1.18,1.18,38.69731801,61.30268199
Relational Databases,1.55,2.72,-1.17,1.17,36.29976581,63.70023419
Recruitment,8.96,10.07,-1.11,1.11,47.08355229,52.91644771
Deviations,0.42,1.5,-1.08,1.08,21.875,78.125
Prototype,2.93,3.97,-1.04,1.04,42.46376812,57.53623188
Scripting Languages,0.7,1.7,-1,1,29.16666667,70.83333333
Safety Training,0.3,1.3,-1,1,18.75,81.25
Regression Testing,0.89,1.81,-0.92,0.92,32.96296296,67.03703704
Plastics,0.34,1.25,-0.91,0.91,21.3836478,78.6163522
Wireframe,0.53,1.42,-0.89,0.89,27.17948718,72.82051282
Design Processes,0.08,0.96,-0.88,0.88,7.692307692,92.30769231
User Story,0.23,1.09,-0.86,0.86,17.42424242,82.57575758
5s,0.17,1.03,-0.86,0.86,14.16666667,85.83333333
Apache Ant,0.04,0.9,-0.86,0.86,4.255319149,95.74468085
Test Strategy,0.3,1.15,-0.85,0.85,20.68965517,79.31034483
Tubing,0.02,0.84,-0.82,0.82,2.325581395,97.6744186
Frac,0.3,1.09,-0.79,0.79,21.58273381,78.41726619
Commissioning,2.51,3.27,-0.76,0.76,43.42560554,56.57439446
Change Control,0.66,1.39,-0.73,0.73,32.19512195,67.80487805
Incident Investigation,0.04,0.74,-0.7,0.7,5.128205128,94.87179487
Relays,0.23,0.92,-0.69,0.69,20,80
Sheet Metal,0,0.62,-0.62,0.62,0,100
Containerization,0.89,1.5,-0.61,0.61,37.23849372,62.76150628
Capital Projects,0.21,0.82,-0.61,0.61,20.38834951,79.61165049
Iis,0.36,0.96,-0.6,0.6,27.27272727,72.72727273
Highways,0.11,0.71,-0.6,0.6,13.41463415,86.58536585
Legal,7.63,8.22,-0.59,0.59,48.13880126,51.86119874
Safety Culture,0.02,0.61,-0.59,0.59,3.174603175,96.82539683
Quality Assurance,8.71,9.3,-0.59,0.59,48.3620211,51.6379789
User Acceptance Tests,0.57,1.15,-0.58,0.58,33.13953488,66.86046512
Safety Auditing,0,0.58,-0.58,0.58,0,100
Injection Molding,0.08,0.59,-0.51,0.51,11.94029851,88.05970149
Accident Investigation,0.04,0.54,-0.5,0.5,6.896551724,93.10344828
Quality Auditing,0,0.5,-0.5,0.5,0,100
Etabs,0,0.49,-0.49,0.49,0,100
Black Belt,0.08,0.55,-0.47,0.47,12.6984127,87.3015873
Smed,0.06,0.52,-0.46,0.46,10.34482759,89.65517241
Databases,16.38,16.81,-0.43,0.43,49.35221452,50.64778548
Computer Science,22.03,22.44,-0.41,0.41,49.53901507,50.46098493
Electrical Design,0.08,0.49,-0.41,0.41,14.03508772,85.96491228
Drainage,0.17,0.58,-0.41,0.41,22.66666667,77.33333333
Azure,3.46,3.85,-0.39,0.39,47.33242134,52.66757866
Technical Direction,0.23,0.62,-0.39,0.39,27.05882353,72.94117647
Power Plants,0.06,0.45,-0.39,0.39,11.76470588,88.23529412
Construction Safety,0,0.39,-0.39,0.39,0,100
Mcafee,0.13,0.51,-0.38,0.38,20.3125,79.6875
Stamping,0.06,0.44,-0.38,0.38,12,88
Hazard Analysis,0.04,0.42,-0.38,0.38,8.695652174,91.30434783
Object Oriented Design,0.19,0.57,-0.38,0.38,25,75
Process Design,0.38,0.74,-0.36,0.36,33.92857143,66.07142857
Citrix,1.02,1.37,-0.35,0.35,42.67782427,57.32217573
Vessels,0.08,0.43,-0.35,0.35,15.68627451,84.31372549
Defect Tracking,0.23,0.57,-0.34,0.34,28.75,71.25
Amazon Ses,0.02,0.36,-0.34,0.34,5.263157895,94.73684211
Technical Specification,1.17,1.5,-0.33,0.33,43.82022472,56.17977528
Distillation,0.06,0.36,-0.3,0.3,14.28571429,85.71428571
Power Generation,0.23,0.52,-0.29,0.29,30.66666667,69.33333333
Tdd,0.23,0.52,-0.29,0.29,30.66666667,69.33333333
Emea,1.23,1.51,-0.28,0.28,44.89051095,55.10948905
Tunnels,0.11,0.38,-0.27,0.27,22.44897959,77.55102041
Heat Transfer,0,0.27,-0.27,0.27,0,100
Chst,0.02,0.29,-0.27,0.27,6.451612903,93.5483871
Product Requirements,0.55,0.81,-0.26,0.26,40.44117647,59.55882353
Machine Design,0.04,0.3,-0.26,0.26,11.76470588,88.23529412
Kaizen,0.47,0.72,-0.25,0.25,39.49579832,60.50420168
Design Manager,0.11,0.36,-0.25,0.25,23.40425532,76.59574468
Line Production,0.02,0.27,-0.25,0.25,6.896551724,93.10344828
Structural Analysis,0,0.25,-0.25,0.25,0,100
Cloud Services,1.13,1.37,-0.24,0.24,45.2,54.8
Design Patterns,0.87,1.11,-0.24,0.24,43.93939394,56.06060606
Managing Teams,0.42,0.66,-0.24,0.24,38.88888889,61.11111111
Value Stream Mapping,0.06,0.3,-0.24,0.24,16.66666667,83.33333333
Spacecraft,0,0.24,-0.24,0.24,0,100
Npm,0.13,0.36,-0.23,0.23,26.53061224,73.46938776
Keywords,0.13,0.36,-0.23,0.23,26.53061224,73.46938776
Cranes,0.13,0.34,-0.21,0.21,27.65957447,72.34042553
Thermodynamics,0.04,0.24,-0.2,0.2,14.28571429,85.71428571
Bdd,0.04,0.24,-0.2,0.2,14.28571429,85.71428571
Selenium,1.83,2.03,-0.2,0.2,47.40932642,52.59067358
Turbines,0.02,0.21,-0.19,0.19,8.695652174,91.30434783
Bug Fixing,0.36,0.54,-0.18,0.18,40,60
Power Distribution,0.11,0.29,-0.18,0.18,27.5,72.5
Software Quality Assurance,0.81,0.99,-0.18,0.18,45,55
Thermal,0.57,0.74,-0.17,0.17,43.51145038,56.48854962
Natural Gas,0.11,0.28,-0.17,0.17,28.20512821,71.79487179
High Voltage,0.06,0.23,-0.17,0.17,20.68965517,79.31034483
Design Best Practices,0,0.17,-0.17,0.17,0,100
Propulsion,0,0.17,-0.17,0.17,0,100
User Interactions,0.04,0.21,-0.17,0.17,16,84
Software Architect,0.47,0.63,-0.16,0.16,42.72727273,57.27272727
Systems Monitoring,0.13,0.29,-0.16,0.16,30.95238095,69.04761905
Scale,7.33,7.48,-0.15,0.15,49.49358542,50.50641458
Ui Testing,0.06,0.21,-0.15,0.15,22.22222222,77.77777778
Geda,0.02,0.16,-0.14,0.14,11.11111111,88.88888889
Tooling Design,0,0.14,-0.14,0.14,0,100
Process Simulation,0,0.14,-0.14,0.14,0,100
Ios,2.59,2.72,-0.13,0.13,48.77589454,51.22410546
Scada,0.08,0.21,-0.13,0.13,27.5862069,72.4137931
Machine Tools,0,0.13,-0.13,0.13,0,100
Stress Analysis,0,0.13,-0.13,0.13,0,100
IO,0.08,0.2,-0.12,0.12,28.57142857,71.42857143
Live Events,0.02,0.14,-0.12,0.12,12.5,87.5
Rx,0.02,0.14,-0.12,0.12,12.5,87.5
Budget Projections,0.06,0.17,-0.11,0.11,26.08695652,73.91304348
Iso 9000,0.06,0.17,-0.11,0.11,26.08695652,73.91304348
Med,0.08,0.19,-0.11,0.11,29.62962963,70.37037037
Industrial Safety,0.02,0.13,-0.11,0.11,13.33333333,86.66666667
Verilog,0,0.11,-0.11,0.11,0,100
Autodesk Inventor,0.13,0.24,-0.11,0.11,35.13513514,64.86486486
Dmaic,0.04,0.15,-0.11,0.11,21.05263158,78.94736842
Minitab,0.23,0.33,-0.1,0.1,41.07142857,58.92857143
Soapui,0.21,0.3,-0.09,0.09,41.17647059,58.82352941
Zephyr,0.06,0.15,-0.09,0.09,28.57142857,71.42857143
Gas Turbines,0.02,0.11,-0.09,0.09,15.38461538,84.61538462
Jsa,0,0.09,-0.09,0.09,0,100
Process Optimization,0.28,0.37,-0.09,0.09,43.07692308,56.92307692
Reinforced Concrete,0,0.08,-0.08,0.08,0,100
Ptc Creo,0,0.08,-0.08,0.08,0,100
Autodesk Autocad,0.04,0.11,-0.07,0.07,26.66666667,73.33333333
Staad,0,0.07,-0.07,0.07,0,100
Remote Teams,0.17,0.24,-0.07,0.07,41.46341463,58.53658537
Saas,2.06,2.13,-0.07,0.07,49.1646778,50.8353222
Lending,3.29,3.35,-0.06,0.06,49.54819277,50.45180723
Rfp,0.32,0.38,-0.06,0.06,45.71428571,54.28571429
Microsoft Powershell,0,0.06,-0.06,0.06,0,100
Short Circuit,0,0.06,-0.06,0.06,0,100
Google Suite,0.23,0.28,-0.05,0.05,45.09803922,54.90196078
Web Standards,0.11,0.16,-0.05,0.05,40.74074074,59.25925926
Apple Macos,0,0.05,-0.05,0.05,0,100
Framer,0.04,0.09,-0.05,0.05,30.76923077,69.23076923
Embedded Software,0.13,0.17,-0.04,0.04,43.33333333,56.66666667
Human Centered,0.13,0.17,-0.04,0.04,43.33333333,56.66666667
Switchgear,0.06,0.1,-0.04,0.04,37.5,62.5
Pulp,0.06,0.1,-0.04,0.04,37.5,62.5
Fluid Mechanics,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Power Transmission,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Oilfield,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Erosion Control,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Mfc,0,0.04,-0.04,0.04,0,100
Altium Designer,0,0.04,-0.04,0.04,0,100
Apache Solr,0,0.04,-0.04,0.04,0,100
Ccp,0,0.04,-0.04,0.04,0,100
Well Control,0,0.04,-0.04,0.04,0,100
Wireshark,0.34,0.38,-0.04,0.04,47.22222222,52.77777778
Power Electronics,0.11,0.14,-0.03,0.03,44,56
Parallel Computing,0.04,0.07,-0.03,0.03,36.36363636,63.63636364
Protective Relays,0.02,0.05,-0.03,0.03,28.57142857,71.42857143
Petrochemical,0.23,0.26,-0.03,0.03,46.93877551,53.06122449
Api Design,0.21,0.24,-0.03,0.03,46.66666667,53.33333333
Hazard Identification,0.08,0.11,-0.03,0.03,42.10526316,57.89473684
Control Systems Design,0,0.03,-0.03,0.03,0,100
Turbomachinery,0,0.03,-0.03,0.03,0,100
Third Party Payments,0,0.03,-0.03,0.03,0,100
Gcp,0.47,0.49,-0.02,0.02,48.95833333,51.04166667
Netsuite Erp,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Apache Hive,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Deltek,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Heuristic Analysis,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Yardi,0,0.02,-0.02,0.02,0,100
Product Backlog Items,0,0.02,-0.02,0.02,0,100
Autodesk Autocad Civil 3d,0,0.02,-0.02,0.02,0,100
Scalable Infrastructure,0,0.02,-0.02,0.02,0,100
Client Invoicing,0,0.02,-0.02,0.02,0,100
Distributed Storage,0,0.02,-0.02,0.02,0,100
Zemax,0,0.02,-0.02,0.02,0,100
Creo Parametric,0,0.02,-0.02,0.02,0,100
Sap Software,0,0.02,-0.02,0.02,0,100
Projectors,0.42,0.43,-0.01,0.01,49.41176471,50.58823529
Sap Business Objects,0.06,0.07,-0.01,0.01,46.15384615,53.84615385
Llvm,0,0.01,-0.01,0.01,0,100
Modernizr,0,0.01,-0.01,0.01,0,100
Google Big Query,0,0.01,-0.01,0.01,0,100
Nebosh,0,0.01,-0.01,0.01,0,100
Learning Specialist,0,0.01,-0.01,0.01,0,100
Ipython,0.02,0.03,-0.01,0.01,40,60
Haskell,0.02,0.03,-0.01,0.01,40,60
Metro,2.06,2.07,-0.01,0.01,49.87893462,50.12106538
Looker,0.25,0.25,0,0,50,50
Jpos,0.08,0.08,0,0,50,50
Device Drivers,0.04,0.04,0,0,50,50
Optimizing Database,0.02,0.02,0,0,50,50
Credit Operations,0.02,0.02,0,0,50,50
Ab Initio,0.02,0.02,0,0,50,50
Power Protection,0.02,0.02,0,0,50,50
Lua,0.02,0.02,0,0,50,50
F#,0.02,0.02,0,0,50,50
Eta,0.02,0.02,0,0,50,50
Containerisation,0.02,0.02,0,0,50,50
Ucd,0.06,0.05,0.01,-0.01,54.54545455,45.45454545
Zookeeper,0.06,0.05,0.01,-0.01,54.54545455,45.45454545
Gitflow,0.06,0.05,0.01,-0.01,54.54545455,45.45454545
Jreport,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Bigtable,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Cocoa Touch,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Jscript,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Ibm Notes,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
Cash Balancing,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
Scalable Architecture,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
Session Management,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
System Architecture,0.81,0.8,0.01,-0.01,50.31055901,49.68944099
Product Support,0.36,0.35,0.01,-0.01,50.70422535,49.29577465
Phoenix,0.7,0.68,0.02,-0.02,50.72463768,49.27536232
Stylus,0.06,0.04,0.02,-0.02,60,40
Clearcase,0.08,0.06,0.02,-0.02,57.14285714,42.85714286
Systems Design,1.17,1.15,0.02,-0.02,50.43103448,49.56896552
Substation,0.23,0.21,0.02,-0.02,52.27272727,47.72727273
Sap Business One,0.06,0.03,0.03,-0.03,66.66666667,33.33333333
Apache Maven,0.04,0.01,0.03,-0.03,80,20
Unittest,0.04,0.01,0.03,-0.03,80,20
Jpeg,0.04,0.01,0.03,-0.03,80,20
Omnigraffle,0.11,0.07,0.04,-0.04,61.11111111,38.88888889
Scalable Systems,0.11,0.07,0.04,-0.04,61.11111111,38.88888889
Value Delivery,0.06,0.02,0.04,-0.04,75,25
Color Theory,0.08,0.04,0.04,-0.04,66.66666667,33.33333333
Sdks,0.25,0.21,0.04,-0.04,54.34782609,45.65217391
Symantec,0.55,0.51,0.04,-0.04,51.88679245,48.11320755
Puppet,0.57,0.52,0.05,-0.05,52.29357798,47.70642202
Flowcharts,0.36,0.31,0.05,-0.05,53.73134328,46.26865672
Power Systems,0.36,0.31,0.05,-0.05,53.73134328,46.26865672
Yarn,0.15,0.1,0.05,-0.05,60,40
Facebook Api,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Apache Cassandra,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Story Boards,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Otp,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Apache Http Server,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Site Reliability,0.13,0.08,0.05,-0.05,61.9047619,38.0952381
Newrelic,0.08,0.03,0.05,-0.05,72.72727273,27.27272727
Undergraduate Degree,0.76,0.71,0.05,-0.05,51.70068027,48.29931973
Continuous Delivery,0.57,0.51,0.06,-0.06,52.77777778,47.22222222
Scipy,0.23,0.17,0.06,-0.06,57.5,42.5
Multithreading,0.11,0.05,0.06,-0.06,68.75,31.25
Uxpin,0.11,0.05,0.06,-0.06,68.75,31.25
Microsoft Dynamics Gp,0.08,0.02,0.06,-0.06,80,20
Lisp,0.08,0.02,0.06,-0.06,80,20
Cash Forecasting,0.08,0.02,0.06,-0.06,80,20
Progressive Web Apps,0.08,0.02,0.06,-0.06,80,20
Customer Growth,0.08,0.02,0.06,-0.06,80,20
Syspro,0.08,0.02,0.06,-0.06,80,20
Typography,0.34,0.27,0.07,-0.07,55.73770492,44.26229508
Video Production,0.19,0.12,0.07,-0.07,61.29032258,38.70967742
Hibernate Orm,0.08,0.01,0.07,-0.07,88.88888889,11.11111111
Iso 22000,0.08,0.01,0.07,-0.07,88.88888889,11.11111111
Product Requirement Documents,0.08,0.01,0.07,-0.07,88.88888889,11.11111111
Nlp,0.28,0.21,0.07,-0.07,57.14285714,42.85714286
Amazon Redshift,0.11,0.03,0.08,-0.08,78.57142857,21.42857143
Program Design,0.38,0.3,0.08,-0.08,55.88235294,44.11764706
Edge Cases,0.17,0.09,0.08,-0.08,65.38461538,34.61538462
Landing Pages,0.32,0.23,0.09,-0.09,58.18181818,41.81818182
Resource Planning Software,0.11,0.02,0.09,-0.09,84.61538462,15.38461538
Apache Hadoop,0.11,0.02,0.09,-0.09,84.61538462,15.38461538
XMPP,0.11,0.02,0.09,-0.09,84.61538462,15.38461538
Dhtml,0.17,0.08,0.09,-0.09,68,32
User Flows,0.53,0.44,0.09,-0.09,54.63917526,45.36082474
Global Management,0.15,0.05,0.1,-0.1,75,25
Microstrategy,0.15,0.05,0.1,-0.1,75,25
Memcached,0.17,0.07,0.1,-0.1,70.83333333,29.16666667
Microsoft Dynamics Erp,0.13,0.03,0.1,-0.1,81.25,18.75
Mixpanel,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Nu,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Hcd,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Amazon S3,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Google Drive,0.21,0.1,0.11,-0.11,67.74193548,32.25806452
Electrical Wiring,0.15,0.04,0.11,-0.11,78.94736842,21.05263158
Racket,0.19,0.08,0.11,-0.11,70.37037037,29.62962963
Zend Framework,0.13,0.02,0.11,-0.11,86.66666667,13.33333333
Rig,0.17,0.06,0.11,-0.11,73.91304348,26.08695652
Responsive Websites,0.23,0.11,0.12,-0.12,67.64705882,32.35294118
Lily,0.17,0.05,0.12,-0.12,77.27272727,22.72727273
Electrical Machines,0.13,0.01,0.12,-0.12,92.85714286,7.142857143
Microsoft Outlook,0.53,0.41,0.12,-0.12,56.38297872,43.61702128
Budgeting,12.32,12.2,0.12,-0.12,50.24469821,49.75530179
Radar,0.47,0.34,0.13,-0.13,58.02469136,41.97530864
Product Planning,0.36,0.23,0.13,-0.13,61.01694915,38.98305085
Sas,1.02,0.89,0.13,-0.13,53.40314136,46.59685864
Confluence,0.87,0.74,0.13,-0.13,54.03726708,45.96273292
Functional Programming,0.23,0.1,0.13,-0.13,69.6969697,30.3030303
Microsoft Dynamics Ax,0.19,0.06,0.13,-0.13,76,24
MQTT,0.15,0.02,0.13,-0.13,88.23529412,11.76470588
Axios,0.15,0.02,0.13,-0.13,88.23529412,11.76470588
Ux Research,0.28,0.15,0.13,-0.13,65.11627907,34.88372093
Jwt,0.15,0.01,0.14,-0.14,93.75,6.25
Story Board,0.15,0.01,0.14,-0.14,93.75,6.25
Oop,0.38,0.24,0.14,-0.14,61.29032258,38.70967742
Epc,0.19,0.05,0.14,-0.14,79.16666667,20.83333333
Haproxy,0.19,0.05,0.14,-0.14,79.16666667,20.83333333
Responsive Web Design,0.36,0.21,0.15,-0.15,63.15789474,36.84210526
Soa,0.55,0.4,0.15,-0.15,57.89473684,42.10526316
Keras,0.51,0.36,0.15,-0.15,58.62068966,41.37931034
Microsoft Visio,0.28,0.13,0.15,-0.15,68.29268293,31.70731707
Sap Erp,0.23,0.08,0.15,-0.15,74.19354839,25.80645161
Mailchimp,0.21,0.05,0.16,-0.16,80.76923077,19.23076923
Microsoft Exchange Server,0.32,0.16,0.16,-0.16,66.66666667,33.33333333
Neo4j,0.23,0.07,0.16,-0.16,76.66666667,23.33333333
Web Client,0.23,0.07,0.16,-0.16,76.66666667,23.33333333
Chef,0.81,0.65,0.16,-0.16,55.47945205,44.52054795
Vue,0.79,0.63,0.16,-0.16,55.63380282,44.36619718
Clojure,0.19,0.02,0.17,-0.17,90.47619048,9.523809524
Eclipse Ide,0.19,0.02,0.17,-0.17,90.47619048,9.523809524
Distributed Systems,0.85,0.66,0.19,-0.19,56.29139073,43.70860927
Sewer,0.74,0.55,0.19,-0.19,57.36434109,42.63565891
